Id,WebSiteID,AccountId,CoinAddress,CoinID,CoinChain,ApplyQuantity,ActualPayQuantity,NeedPayQuantity,FeeRate,Fee,BillNo,Status,ApproveComments,CreatorID,CreateTime,LastUpdateUserID,LastUpdateTime,TXID,CacheVersion,BlockTime,ApproverID,Available,CoinAddressTag,Version,BatchApprovalID,Memo,Type,AuditReason,GasFee,RequestId,FromAddress,InternalReconciliationId
6.00721E+21,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x461808c97d2dd7a7c33ebd338d482836eb44fdc1,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.01299454,0.01299454,0.013,3364.800917,0.00000546,NULL,11,NULL,1000349,12:46.4,qzq1,13:23.7,0xf9611a492a997df8722582977c41e4b4afb56bf1826e6d06848291f065ca1ed3,NULL,20:39.7,qzq1,0.015,NULL,NULL,NULL,,3,单次提币超额,0.000198077,381,,NULL
611610003238203392857f,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.002,0.002,0.002,2487.824244,0,NULL,4,NULL,1000349,19:47.9,qzq1,47:17.0,NULL,NULL,NULL,qzq1,0.021801923,NULL,NULL,NULL,,3,NULL,0,NULL,,NULL
61161409085169254451cc,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.002,0.002,0.002,2487.824244,0,NULL,104,NULL,1000349,36:02.5,qzq1,47:04.6,0x229d72eb2bb030402c420bd2b47d950e5eb1c673d6e54a663e05398483d2d944,NULL,55:18.0,qzq1,0.019801923,NULL,NULL,NULL,,3,单次提币超额,0.000151304,403,,3E3CC012-140C-4D3A-A1A7-3A16A305DD56
6116146311745167362b91,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.002,0.002,0.002,2487.824244,0,NULL,4,NULL,1000349,38:11.3,NULL,38:11.3,NULL,NULL,NULL,NULL,0.017801923,NULL,NULL,NULL,,3,NULL,0,NULL,,NULL
611621927405400064213f,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.002,0.002,0.002,2487.824244,0,NULL,103,NULL,1000349,07:10.9,NULL,07:10.8,NULL,NULL,NULL,NULL,0.019650619,NULL,NULL,NULL,,3,NULL,0,NULL,,NULL
6116222976198369285a5b,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.003,0.003,0.003,2487.824244,0,NULL,103,NULL,1000349,08:39.1,NULL,08:39.1,NULL,NULL,NULL,NULL,0.017650619,NULL,NULL,NULL,,3,NULL,0,NULL,,NULL
6.52123E+21,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x461808c97d2dd7a7c33ebd338d482836eb44fdc1,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.0002,0.0002,0.0002,3668.825723,0,NULL,103,NULL,1000349,23:55.7,NULL,23:55.7,NULL,NULL,NULL,NULL,0.064650619,NULL,NULL,NULL,,3,NULL,0,NULL,,NULL
652154472966303744d6b7,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x461808c97d2dd7a7c33ebd338d482836eb44fdc1,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.0002,0.0002,0.0002,3668.658429,0,NULL,104,NULL,1000349,29:02.8,qzq1,33:39.8,0xe3b9dc575d22d847b3896e5abd32af2e5a00af3c4ed502d9dfcc7ecd9150f006,NULL,50:07.2,qzq1,0.064450619,NULL,NULL,NULL,,3,NULL,3.587E-07,1005381,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,NULL
6524757717605867520fd4,3A0F4F85-ACA3-CD7D-34A2-ED01216C694F,1000348,0x461808c97d2dd7a7c33ebd338d482836eb44fdc1,3A1162F7-E448-0BAC-1480-C0B0D6D1E628,ETH,0.0002,0.0002,0.0002,3854.963485,0,NULL,104,NULL,1000349,45:46.4,qzq1,47:41.3,0x3ae90ecd2f93a5f0b84841bf433cb02d02747f3964dc74dcb164e11ebc53e19a,NULL,56:07.7,qzq1,0.06625026,NULL,NULL,NULL,,3,NULL,0.000232977,1007950,0x2e9e22f64ba0f37db5262ef46df56187512d7e0b,NULL
